TRACE_SEQUENCE_LINE,TRACE_SEQUENCE_FILE,FieldRecord,TraceNumber,EnergySourcePoint,CDP,CDP_TRACE,TraceIdentificationCode,NSummedTraces,NStackedTraces,DataUse,offset,ReceiverGroupElevation,SourceSurfaceElevation,SourceDepth,ReceiverDatumElevation,SourceDatumElevation,SourceWaterDepth,GroupWaterDepth,ElevationScalar,SourceGroupScalar,SourceX,SourceY,GroupX,GroupY,CoordinateUnits,WeatheringVelocity,SubWeatheringVelocity,SourceUpholeTime,GroupUpholeTime,SourceStaticCorrection,GroupStaticCorrection,TotalStaticApplied,LagTimeA,LagTimeB,DelayRecordingTime,MuteTimeStart,MuteTimeEND,TRACE_SAMPLE_COUNT,TRACE_SAMPLE_INTERVAL,GainType,InstrumentGainConstant,InstrumentInitialGain,Correlated,SweepFrequencyStart,SweepFrequencyEnd,SweepLength,SweepType,SweepTraceTaperLengthStart,SweepTraceTaperLengthEnd,TaperType,AliasFilterFrequency,AliasFilterSlope,NotchFilterFrequency,NotchFilterSlope,LowCutFrequency,HighCutFrequency,LowCutSlope,HighCutSlope,YearDataRecorded,DayOfYear,HourOfDay,MinuteOfHour,SecondOfMinute,TimeBaseCode,TraceWeightingFactor,GeophoneGroupNumberRoll1,GeophoneGroupNumberFirstTraceOrigField,GeophoneGroupNumberLastTraceOrigField,GapSize,OverTravel,CDP_X,CDP_Y,INLINE_3D,CROSSLINE_3D,ShotPoint,ShotPointScalar,TraceValueMeasurementUnit,TransductionConstantMantissa,TransductionConstantPower,TransductionUnit,TraceIdentifier,ScalarTraceHeader,SourceType,SourceEnergyDirectionMantissa,SourceEnergyDirectionExponent,SourceMeasurementMantissa,SourceMeasurementExponent,SourceMeasurementUnit,UnassignedInt1,UnassignedInt2,i,j
44,3175,1731,69,1731,1343,1343,1,41,0,0,0,0,0,0,0,0,0,0,1,1,2247152,67003,2247152,67003,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247152,67003,1731,1343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,43
45,3176,1731,69,1731,1344,1344,1,41,0,0,0,0,0,0,0,0,0,0,1,1,2247152,67113,2247152,67113,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247152,67113,1731,1344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,44
46,3177,1731,167,1731,1345,1345,1,41,0,0,0,0,0,0,0,0,0,0,1,1,2247152,67223,2247152,67223,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247152,67223,1731,1345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,45
47,3178,1731,69,1731,1346,1346,1,42,0,0,0,0,0,0,0,0,0,0,1,1,2247152,67333,2247152,67333,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247152,67333,1731,1346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,46
48,3179,1731,72,1731,1347,1347,1,43,0,0,0,0,0,0,0,0,0,0,1,1,2247152,67443,2247152,67443,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247152,67443,1731,1347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,47
49,3180,1731,72,1731,1348,1348,1,44,0,0,0,0,0,0,0,0,0,0,1,1,2247152,67553,2247152,67553,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247152,67553,1731,1348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,48
50,3181,1731,72,1731,1349,1349,1,43,0,0,0,0,0,0,0,0,0,0,1,1,2247152,67663,2247152,67663,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247152,67663,1731,1349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,49
51,3182,1731,1766,1731,1350,1350,1,41,0,0,0,0,0,0,0,0,0,0,1,1,2247152,67773,2247152,67773,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247152,67773,1731,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,50
52,3183,1731,1718,1731,1351,1351,1,40,0,0,0,0,0,0,0,0,0,0,1,1,2247153,67883,2247153,67883,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247153,67883,1731,1351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,51
53,3184,1731,70,1731,1352,1352,1,42,0,0,0,0,0,0,0,0,0,0,1,1,2247153,67993,2247153,67993,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247153,67993,1731,1352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,52
54,3185,1731,70,1731,1353,1353,1,43,0,0,0,0,0,0,0,0,0,0,1,1,2247153,68103,2247153,68103,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247153,68103,1731,1353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,53
55,3186,1731,71,1731,1354,1354,1,42,0,0,0,0,0,0,0,0,0,0,1,1,2247153,68213,2247153,68213,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247153,68213,1731,1354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,54
56,3187,1731,166,1731,1355,1355,1,42,0,0,0,0,0,0,0,0,0,0,1,1,2247153,68323,2247153,68323,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247153,68323,1731,1355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,55
57,3188,1731,166,1731,1356,1356,1,42,0,0,0,0,0,0,0,0,0,0,1,1,2247153,68433,2247153,68433,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247153,68433,1731,1356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,56
58,3189,1731,166,1731,1357,1357,1,42,0,0,0,0,0,0,0,0,0,0,1,1,2247153,68543,2247153,68543,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247153,68543,1731,1357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,57
59,3190,1731,166,1731,1358,1358,1,42,0,0,0,0,0,0,0,0,0,0,1,1,2247153,68653,2247153,68653,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247153,68653,1731,1358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,58
60,3191,1731,166,1731,1359,1359,1,42,0,0,0,0,0,0,0,0,0,0,1,1,2247154,68763,2247154,68763,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247154,68763,1731,1359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,59
61,3192,1731,166,1731,1360,1360,1,42,0,0,0,0,0,0,0,0,0,0,1,1,2247154,68873,2247154,68873,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247154,68873,1731,1360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,60
62,3193,1731,166,1731,1361,1361,1,41,0,0,0,0,0,0,0,0,0,0,1,1,2247154,68983,2247154,68983,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247154,68983,1731,1361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,61
63,3194,1731,168,1731,1362,1362,1,40,0,0,0,0,0,0,0,0,0,0,1,1,2247154,69093,2247154,69093,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247154,69093,1731,1362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,62
64,3195,1731,165,1731,1363,1363,1,40,0,0,0,0,0,0,0,0,0,0,1,1,2247154,69203,2247154,69203,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247154,69203,1731,1363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,63
65,3196,1731,166,1731,1364,1364,1,40,0,0,0,0,0,0,0,0,0,0,1,1,2247154,69313,2247154,69313,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247154,69313,1731,1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,64
66,3197,1731,166,1731,1365,1365,1,41,0,0,0,0,0,0,0,0,0,0,1,1,2247154,69423,2247154,69423,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247154,69423,1731,1365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,65
67,3198,1731,73,1731,1366,1366,1,44,0,0,0,0,0,0,0,0,0,0,1,1,2247154,69533,2247154,69533,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247154,69533,1731,1366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,66
68,3199,1731,73,1731,1367,1367,1,45,0,0,0,0,0,0,0,0,0,0,1,1,2247155,69643,2247155,69643,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247155,69643,1731,1367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,67
69,3200,1731,1799,1731,1368,1368,1,43,0,0,0,0,0,0,0,0,0,0,1,1,2247155,69753,2247155,69753,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247155,69753,1731,1368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,68
70,3201,1731,1800,1731,1369,1369,1,42,0,0,0,0,0,0,0,0,0,0,1,1,2247155,69863,2247155,69863,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247155,69863,1731,1369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,69
71,3202,1731,1801,1731,1370,1370,1,44,0,0,0,0,0,0,0,0,0,0,1,1,2247155,69973,2247155,69973,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247155,69973,1731,1370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,70
72,3203,1731,1802,1731,1371,1371,1,42,0,0,0,0,0,0,0,0,0,0,1,1,2247155,70083,2247155,70083,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247155,70083,1731,1371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,71
73,3204,1731,1803,1731,1372,1372,1,42,0,0,0,0,0,0,0,0,0,0,1,1,2247155,70193,2247155,70193,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247155,70193,1731,1372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,72
74,3205,1731,1805,1731,1373,1373,1,41,0,0,0,0,0,0,0,0,0,0,1,1,2247155,70303,2247155,70303,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247155,70303,1731,1373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,73
75,3206,1731,1805,1731,1374,1374,1,42,0,0,0,0,0,0,0,0,0,0,1,1,2247156,70413,2247156,70413,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247156,70413,1731,1374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,74
76,3207,1731,1795,1731,1375,1375,1,44,0,0,0,0,0,0,0,0,0,0,1,1,2247156,70523,2247156,70523,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247156,70523,1731,1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,75
77,3208,1731,1795,1731,1376,1376,1,45,0,0,0,0,0,0,0,0,0,0,1,1,2247156,70633,2247156,70633,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247156,70633,1731,1376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,76
78,3209,1731,1795,1731,1377,1377,1,45,0,0,0,0,0,0,0,0,0,0,1,1,2247156,70743,2247156,70743,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247156,70743,1731,1377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,77
79,3210,1731,4445,1731,1378,1378,1,45,0,0,0,0,0,0,0,0,0,0,1,1,2247156,70853,2247156,70853,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247156,70853,1731,1378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,78
80,3211,1731,4445,1731,1379,1379,1,44,0,0,0,0,0,0,0,0,0,0,1,1,2247156,70963,2247156,70963,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247156,70963,1731,1379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,79
81,3212,1731,4446,1731,1380,1380,1,43,0,0,0,0,0,0,0,0,0,0,1,1,2247156,71073,2247156,71073,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247156,71073,1731,1380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,80
82,3213,1731,4447,1731,1381,1381,1,43,0,0,0,0,0,0,0,0,0,0,1,1,2247156,71183,2247156,71183,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247156,71183,1731,1381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,81
83,3214,1731,4447,1731,1382,1382,1,39,0,0,0,0,0,0,0,0,0,0,1,1,2247157,71293,2247157,71293,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247157,71293,1731,1382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,82
84,3215,1731,1800,1731,1383,1383,1,38,0,0,0,0,0,0,0,0,0,0,1,1,2247157,71403,2247157,71403,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247157,71403,1731,1383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,83
85,3216,1731,6,1731,1384,1384,1,38,0,0,0,0,0,0,0,0,0,0,1,1,2247157,71513,2247157,71513,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247157,71513,1731,1384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,84
86,3217,1731,1715,1731,1385,1385,1,39,0,0,0,0,0,0,0,0,0,0,1,1,2247157,71623,2247157,71623,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247157,71623,1731,1385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,85
87,3218,1731,1715,1731,1386,1386,1,40,0,0,0,0,0,0,0,0,0,0,1,1,2247157,71733,2247157,71733,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247157,71733,1731,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,86
88,3219,1731,1709,1731,1387,1387,1,38,0,0,0,0,0,0,0,0,0,0,1,1,2247157,71843,2247157,71843,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247157,71843,1731,1387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,87
89,3220,1731,1709,1731,1388,1388,1,38,0,0,0,0,0,0,0,0,0,0,1,1,2247157,71953,2247157,71953,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247157,71953,1731,1388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,88
90,3221,1731,78,1731,1389,1389,1,37,0,0,0,0,0,0,0,0,0,0,1,1,2247157,72063,2247157,72063,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247157,72063,1731,1389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,89
91,3222,1731,78,1731,1390,1390,1,35,0,0,0,0,0,0,0,0,0,0,1,1,2247158,72173,2247158,72173,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247158,72173,1731,1390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,90
92,3223,1731,78,1731,1391,1391,1,36,0,0,0,0,0,0,0,0,0,0,1,1,2247158,72283,2247158,72283,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247158,72283,1731,1391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,91
93,3224,1731,1889,1731,1392,1392,1,36,0,0,0,0,0,0,0,0,0,0,1,1,2247158,72393,2247158,72393,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247158,72393,1731,1392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,92
94,3225,1731,1889,1731,1393,1393,1,35,0,0,0,0,0,0,0,0,0,0,1,1,2247158,72503,2247158,72503,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247158,72503,1731,1393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,93
95,3226,1731,1493,1731,1394,1394,1,33,0,0,0,0,0,0,0,0,0,0,1,1,2247158,72613,2247158,72613,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247158,72613,1731,1394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,94
96,3227,1731,78,1731,1395,1395,1,37,0,0,0,0,0,0,0,0,0,0,1,1,2247158,72723,2247158,72723,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247158,72723,1731,1395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,95
97,3228,1731,78,1731,1396,1396,1,38,0,0,0,0,0,0,0,0,0,0,1,1,2247158,72833,2247158,72833,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247158,72833,1731,1396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,96
98,3229,1731,78,1731,1397,1397,1,37,0,0,0,0,0,0,0,0,0,0,1,1,2247158,72943,2247158,72943,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247158,72943,1731,1397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,97
99,3230,1731,1898,1731,1398,1398,1,36,0,0,0,0,0,0,0,0,0,0,1,1,2247159,73053,2247159,73053,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247159,73053,1731,1398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,98
100,3231,1731,1860,1731,1399,1399,1,33,0,0,0,0,0,0,0,0,0,0,1,1,2247159,73163,2247159,73163,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247159,73163,1731,1399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,99
101,3232,1731,1900,1731,1400,1400,1,32,0,0,0,0,0,0,0,0,0,0,1,1,2247159,73273,2247159,73273,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247159,73273,1731,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,100
1,3233,1732,110,1732,1300,1300,1,38,0,0,0,0,0,0,0,0,0,0,1,1,2247036,62273,2247036,62273,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247036,62273,1732,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
2,3234,1732,112,1732,1301,1301,1,40,0,0,0,0,0,0,0,0,0,0,1,1,2247036,62383,2247036,62383,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247036,62383,1732,1301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1
3,3235,1732,112,1732,1302,1302,1,39,0,0,0,0,0,0,0,0,0,0,1,1,2247036,62493,2247036,62493,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247036,62493,1732,1302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2
4,3236,1732,114,1732,1303,1303,1,39,0,0,0,0,0,0,0,0,0,0,1,1,2247036,62603,2247036,62603,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247036,62603,1732,1303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,3
5,3237,1732,114,1732,1304,1304,1,37,0,0,0,0,0,0,0,0,0,0,1,1,2247036,62713,2247036,62713,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247036,62713,1732,1304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4
